Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J8         CONN_MALE_1X3_3MM   4415.354mil    220.472mil   4297.244mil    220.472mil   4297.244mil    220.472mil  T         90.00 CONN 1X3 3MM   
J9         CONN_MALE_1X3_3MM   4948.819mil    220.472mil   4830.709mil    220.472mil   4830.709mil    220.472mil  T         90.00 CONN 1X3 3MM   
JP1        HDR_FEMALE_1X2_2.54MM   4577.953mil   1387.795mil   4627.953mil   1387.795mil   4627.953mil   1387.795mil  T        270.00 HDR 1X2 2.54MM 
JP3        HDR_FEMALE_1X5_2.54MM    611.417mil    220.472mil    411.417mil    220.472mil    411.417mil    220.472mil  T         90.00 HDR FEMALE 1X5 2.54MM
JP5        HDR_MALE_1X3_2.54MM    255.905mil     531.89mil    255.905mil     631.89mil    255.905mil     631.89mil  T        360.00 HDR_1X3_2.54   
JP6        HDR_FEMALE_1X4_2.54MM   5350.394mil     689.37mil   5350.394mil     839.37mil   5350.394mil     839.37mil  T          0.00 HDR FEMALE 1X4 2.54MM
JP7        HDR_FEMALE_1X4_2.54MM   5350.394mil    1189.37mil   5350.394mil    1339.37mil   5350.394mil    1339.37mil  T          0.00 HDR FEMALE 1X4 2.54MM
Q1         POWERPAK-SO8      1405.512mil   3047.244mil   1405.512mil   3047.244mil    1332.48mil   3122.244mil  T        270.00 PNP 60V 36A    
Q2         SOT-23_(TO-236)   1059.055mil    919.291mil   1059.055mil    919.291mil   1059.055mil    958.661mil  T        360.00 PNP            
Q3         SOT-23_(TO-236)   1586.614mil    919.291mil   1586.614mil    919.291mil   1586.614mil    958.661mil  T        360.00 PNP            
Q4         SOT-23_(TO-236)    2118.11mil    919.291mil    2118.11mil    919.291mil    2118.11mil    958.661mil  T        360.00 PNP            
Q5         SOT-23_(TO-236)   2649.606mil    919.291mil   2649.606mil    919.291mil   2649.606mil    958.661mil  T        360.00 PNP            
Q6         SOT-23_(TO-236)   3183.071mil    919.291mil   3183.071mil    919.291mil   3183.071mil    958.661mil  T        360.00 PNP            
Q7         SOT-23_(TO-236)    3710.63mil     921.26mil    3710.63mil     921.26mil    3710.63mil     960.63mil  T        360.00 PNP            
Q8         SOT-23_(TO-236)   4240.158mil    919.291mil   4240.158mil    919.291mil   4240.158mil    958.661mil  T        360.00 PNP            
Q9         SOT-23_(TO-236)   4775.591mil    919.291mil   4775.591mil    919.291mil   4775.591mil    958.661mil  T        360.00 PNP            
R1         RES_0603           913.386mil   3070.866mil    913.386mil   3070.866mil    913.386mil   3100.394mil  T        270.00 100K           
R2         RES_0805          1716.535mil   3610.236mil   1716.535mil   3610.236mil   1679.134mil   3610.236mil  T        360.00 54.9           
R3         RES_0805           200.787mil   3610.236mil    200.787mil   3610.236mil    238.189mil   3610.236mil  T        180.00 140            
R4         RES_0805          5013.779mil   3344.488mil   5013.779mil   3344.488mil   5013.779mil    3381.89mil  T        270.00 10K            
R10        RES_0805           511.811mil    383.858mil    511.811mil    383.858mil    511.811mil     421.26mil  T        270.00 22             
R11        RES_0805            710.63mil    383.858mil     710.63mil    383.858mil     710.63mil     421.26mil  T        270.00 22             
R12        RES_0805           811.024mil    383.858mil    811.024mil    383.858mil    811.024mil     421.26mil  T        270.00 22             
R13        RES_0805          3562.992mil   2704.724mil   3562.992mil   2704.724mil   3562.992mil   2742.126mil  T        270.00 5.6k           
R14        RES_0805          3667.323mil   2704.724mil   3667.323mil   2704.724mil   3667.323mil   2742.126mil  T        270.00 5.6k           
R15        RES_0805          2285.433mil   3685.039mil   2285.433mil   3685.039mil   2248.032mil   3685.039mil  T        360.00 1K             
R16        RES_0805          2017.717mil   2842.519mil   2017.717mil   2842.519mil   1980.315mil   2842.519mil  T        360.00 0              
R17        RES_0805          2017.717mil   2742.126mil   2017.717mil   2742.126mil   1980.315mil   2742.126mil  T        360.00 0              
R18        RES_0805          2600.394mil   2606.299mil   2600.394mil   2606.299mil   2637.795mil   2606.299mil  T        180.00 5.6k           
R19        RES_0805          2165.354mil   1545.275mil   2165.354mil   1545.275mil   2127.953mil   1545.275mil  T        360.00 5.6k           
R20        RES_0805          1192.913mil    911.417mil   1192.913mil    911.417mil   1192.913mil    874.016mil  T         90.00 5.6k           
R21        RES_0805          1720.472mil    911.417mil   1720.472mil    911.417mil   1720.472mil    874.016mil  T         90.00 5.6k           
