Field=Description~String~Description~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~String~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~String~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~String~Supplier Unit Price 1~100|Field=Case/Package~String~Case/Package~100|Field=Category~String~Category~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~IoTProject_V1.1.PrjPcb|ReportField=ProjectFullPath~C:\Users\a\Desktop\Electronic Project\IoTProject_V1.1\Rollmech_Design_Files\IoTProject_V1.1\IoTProject_V1.1\IoTProject_V1.1.PrjPcb|ReportField=Title~BOM_PartType For Variant [COMM 5V - I/O 12V] of Project [IoTProject_V1.1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~206|ReportField=ReportTime~9:21:18 AM|ReportField=ReportDate~10/10/2019|ReportField=ReportDateTime~10/10/2019 9:21:18 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~COMM 5V - I/O 12V|ReportField=Company~(c) Rollmech Automotive|ReportField=Designer~Selman Cogay|ReportField=NotFitted~|ReportField=Proje~IoT-Project|ReportField=Project~IoTProject|ReportField=VersionRevision~V1|1|ReportField=WebSite~https://www.rollmech.com|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.52|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=4|PrintQuality=600|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A4|PaperIndex=9|ReportField=DataSourceFileName~IoTProject_V1.1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a\Desktop\Electronic Project\IoTProject_V1.1\Rollmech_Design_Files\IoTProject_V1.1\IoTProject_V1.1\IoTProject_V1.1.PrjPcb
DIODE ZENER 12V 250MW SOT23-3|1|ON Semiconductor|SZBZX84C12LT1G|Digikey|USD|1|SZBZX84C12LT1GOSCT-ND|80986|0.15|0.15|TO-236-3, SC-59, SOT-23-3|Diodes - Zener - Single
TVS DIODE 30.8V 49.9V SMB|1|Littelfuse Inc.|SZP6SMB36CAT3G|Digikey|USD|1|SZP6SMB36CAT3GOSCT-ND|24611|0.87|0.87|DO-214AA, SMB|TVS - Diodes
LED RED 626NM 2SMD|2|OSRAM Opto Semiconductors Inc.|LR T67D-U1V2-1-1-20-R18-Z|Digikey|$|1|475-3762-1-ND|1905||0,47|2-SMD, J-Lead|LED Lighting - Color
TVS DIODE 24V 40V SOT23-3|1|STMicroelectronics|ESDCAN24-2BLY|Digikey|USD|1|497-13262-1-ND|89012|0.39|0.39|TO-236-3, SC-59, SOT-23-3|TVS - Diodes
LED TOPLED GREEN 562NM 2PLCC|14|OSRAM Opto Semiconductors Inc.|LP T67F-P1R2-35-1-20-R18-Z|Digikey|$|1|475-3760-1-ND|1903||0,67|2-PLCC|LED Lighting - Color
FUSE 1.25A 32VDC 0603|1|Vishay Beyschlag|MFU0603FF01250P100|Digikey|USD|1|MFU06031.25CT-ND|24954|0.31|0.31|0603 (1608 Metric)|Fuses
CONN PWR JACK 2X5.5MM SOLDER|1|CUI Inc.|PJ-002A|Digikey|$|1|CP-002A-ND|115179||0,6|Jack|Barrel - Power Connectors
3POS 2.54MM|5|Wurth Electronics Inc.|61300311121|Digikey|USD|5|732-5316-ND|109116|0.65|0.13|3POS pitch 2.54mm|Rectangular Connectors - Headers, Male Pins
2POS 0.1 TIN PCB 2.54mm Pitch|1|Sullins Connector Solutions|PPTC021LFBN-RC|Digikey|USD|1|S7000-ND|46723|0.32|0.32|2POS_2.54mmPitch|Rectangular Connectors - Headers, Receptacles, Female Sockets
4POS 0.1 TIN PCB 2.54mm Pitch|3|Sullins Connector Solutions|PPTC041LFBN-RC|Digikey|USD|3|S7002-ND|30769|1.35|0.45|4POS_2.54mmPitch|Rectangular Connectors - Headers, Receptacles, Female Sockets
6POS 0.1 TIN PCB 2.54mm Pitch|3|Sullins Connector Solutions|PPTC061LFBN-RC|Digikey|USD|3|S7004-ND|18444|1.56|0.52|6Pos_2.5mm_Pitch|Rectangular Connectors - Headers, Receptacles, Female Sockets
16POS 0.1 TIN PCB 2.54mm Pitch|1|Sullins Connector Solutions|PPTC161LFBN-RC|Digikey|USD|1|S7014-ND|9562|0.98|0.98|16Pos_2.5mm_Pitch|Rectangular Connectors - Headers, Receptacles, Female Sockets
3POS 3MM|14|Wurth Electronics Inc.|66200311122|Digikey|USD|14|732-4709-5-ND|56|4.648|0.332|3POS_3mmPitch|Rectangular Connectors - Headers, Male Pins
MOSFET P-CH 60V 36A POWERPAKSO-8|1|Vishay Siliconix|SQJ457EP-T1_GE3|Digikey|USD|1|SQJ457EP-T1_GE3CT-ND|24220|0.88|0.88|PowerPAK® SO-8|Transistors - FETs, MOSFETs - Single
TRANS NPN 40V 0.6A SMD SOT23-3|14|Diodes Incorporated|MMBT2222A-7-F|Digikey|USD|14|MMBT2222A-FDICT-ND|1957039|1.708|0.122|SOT-23-3|Transistors - Bipolar (BJT) - Single
OPTOISO 3.75KV TRANS 6-SO 4 LEAD|14|Toshiba Semiconductor and Storage|TLP2301(TPL,E|Digikey|USD|14|TLP2301(TPLECT-ND|19225|6.874|0.491|6-SOIC (0.179", 4.55mm Width), 4 Leads|Optoisolators - Transistor, Photovoltaic Output
100K 5% 1/4W 0603|15|Panasonic Electronic Components|ERJ-PA3J104V|Digikey|USD|15|P100KBZCT-ND|11465|1.5|0.10|0603 (1608 Metric)|Chip Resistor - Surface Mount
RES SMD 54.9 OHM 1% 1/8W 0805|1|Panasonic Electronic Components|ERJ-6ENF54R9V|Digikey|USD|1|P54.9CCT-ND|43715|0.1|0.10|0805 (2012 Metric)|Chip Resistor - Surface Mount
RES SMD 140 OHM 1% 1/8W 0805|15|Panasonic Electronic Components|ERJ-6ENF1400V|Digikey|USD|15|P140CCT-ND|76818|1.215|0.081|0805 (2012 Metric)|Chip Resistor - Surface Mount
RES SMD 0 OHM JUMPER 1/8W 0805|6|Vishay Dale|CRCW08050000Z0EA|Digikey|USD|6|541-0.0ACT-ND|609778|0.6|0.10|0805 (2012 Metric)|Chip Resistor - Surface Mount
RES SMD 22 OHM 5% 1/8W 0805|6|Vishay Dale|CRCW080522R0JNEA|Digikey|USD|6|541-22ACT-ND|53471|0.6|0.10|0805 (2012 Metric)|Chip Resistor - Surface Mount
RES SMD 60.4 OHM 1% 1/8W 0805|2|Vishay Dale|CRCW080560R4FKEA|Digikey|USD|2|541-60.4CCT-ND|49809|0.2|0.10|0805 (2012 Metric)|Chip Resistor - Surface Mount
RES SMD 5.6K OHM 1% 1/8W 0805|20|Panasonic Electronic Components|ERJ-6ENF5601V|Digikey|USD|20|P5.60KCCT-ND|71341|1.54|0.077|0805 (2012 Metric)|Chip Resistor - Surface Mount
1K OHM 1% 1/8W 0805|9|Panasonic Electronic Components|ERJ-6ENF1001V|Digikey|USD|9|P1.00KCCT-ND|1361018|0.9|0.10|0805 (2012 Metric)|Chip Resistor - Surface Mount
10K OHM 1% 1/8W 0805|14|Panasonic Electronic Components|ERJ-6ENF1002V|Digikey|USD|14|P10.0KCCT-ND|2515107|1.078|0.077|0805 (2012 Metric)|Chip Resistor - Surface Mount
100 OHM 1% 1/8W 0805|6|Panasonic Electronic Components|ERJ-6ENF1000V|Digikey|USD|6|P100CCT-ND|728141|0.6|0.10|0805 (2012 Metric)|Chip Resistor - Surface Mount
SWITCH TACTILE SPST-NO 0.05A 24V|1|TE Connectivity ALCOSWITCH Switches|FSMSMTR|Digikey|USD|1|450-1758-1-ND|28743|0.47|0.47||Tactile Switches
IC REG LINEAR 3.3V 1A TO252-3-11|1|Infineon Technologies|TLE4284DV33ATMA1|Digikey|USD|1|TLE4284DV33ATMA1CT-ND|5062|1.68|1.68|TO-252-3, DPak (2 Leads + Tab), SC-63|PMIC - Voltage Regulators - Linear
IC REG LINEAR 5V 1A TO252-3-11|1|Infineon Technologies|TLE4284DV50ATMA1|Digikey|USD|1|TLE4284DV50ATMA1CT-ND|2563|1.68|1.68|TO-252-3, DPak (2 Leads + Tab), SC-63|PMIC - Voltage Regulators - Linear
IC TXRX CAN 1MBPS 3.3V 8SOIC|1|Texas Instruments|SN65HVD232QDRQ1|Digikey|USD|1|296-15381-1-ND|16386|2.37|2.37|8-SOIC (0.154", 3.90mm Width)|Interface - Drivers, Receivers, Transceivers
IC EEPROM 2M I2C 1MHZ 8SO|1|STMicroelectronics|M24M02-DWMN3TP/K|Digikey|USD|1|497-16238-1-ND|6027|3.28|3.28|8-SOIC (0.154", 3.90mm Width)|Memory
IC MCU 32BIT 64KB FLASH 64LQFP|1|STMicroelectronics|STM32F072R8T6TR|Digikey|USD|1|497-17362-1-ND|441|3.84|3.84|64-LQFP|Embedded - Microcontrollers
CRYSTAL 32.768KHZ 6PF SMD|1|ECS Inc.|ECS-.327-6-34QCS-TR|Digikey|USD|1|XC2162CT-ND|1833|0.83|0.83|2-SMD, No Lead|Crystals
CRYSTAL 8.0000MHZ 18PF SMD|1|ECS Inc.|ECS-80-18-20BQ-DS|Digikey|USD|1|XC2015CT-ND|15309|1.28|1.28|4-SMD, No Lead|Crystals
